CHB.UG1.LA.CASQ.Temp_1 Timestamp,CHB.UG1.LA.CASQ.Temp_1 Value,CHB.UG1.LA.CASQ.Temp_2 Timestamp,CHB.UG1.LA.CASQ.Temp_2 Value,CHB.UG1.LA.ME.Temp_2 Timestamp,CHB.UG1.LA.ME.Temp_2 Value,CHB.UG1.LA.ME.Temp_1 Timestamp,CHB.UG1.LA.ME.Temp_1 Value,CHB.UG1.LA.ME.Temp_3 Timestamp,CHB.UG1.LA.ME.Temp_3 Value,CHB.UG1.LA.Temp_Ol Timestamp,CHB.UG1.LA.Temp_Ol Value,CHB.UG1.LA.MCE.Temp Timestamp,CHB.UG1.LA.MCE.Temp Value,CHB.UG1.LNA.CASQ.Temp_2 Timestamp,CHB.UG1.LNA.CASQ.Temp_2 Value,CHB.UG1.LNA.CASQ.Temp_1 Timestamp,CHB.UG1.LNA.CASQ.Temp_1 Value,CHB.UG1.LNA.Temp_Ol Timestamp,CHB.UG1.LNA.Temp_Ol Value,CHB.UG1.UHLM.Temp_Ol Timestamp,CHB.UG1.UHLM.Temp_Ol Value,CHB.UG1.RV.Vel Timestamp,CHB.UG1.RV.Vel Value,CHB.UG1.RV.PosDistr Timestamp,CHB.UG1.RV.PosDistr Value
12/12/2024 18:14:02,23.4316749572754,12/12/2024 18:22:46,24.7998085021973,12/12/2024 18:16:52,23.5387649536133,12/12/2024 18:13:58,23.2005081176758,12/12/2024 18:48:30,28.6000061035156,12/12/2024 18:14:07,22.3102054595947,12/12/2024 18:13:57,23.6884288787842,12/12/2024 18:21:23,23.0999088287354,12/12/2024 18:14:07,22.1470375061035,12/12/2024 18:14:07,22.1470375061035,12/12/2024 18:22:50,22.4961338043213,12/12/2024 18:14:11,6.55248463153839E-02,12/12/2024 18:14:10,0.120108917355537
12/12/2024 18:14:03,23.5649700164795,12/12/2024 18:22:57,24.899715423584,12/12/2024 18:17:02,23.739933013916,12/12/2024 18:14:03,23.2826690673828,12/12/2024 18:50:49,29,12/12/2024 18:14:11,22.0928249359131,12/12/2024 18:14:02,23.6884288787842,12/12/2024 18:21:28,23.1998023986816,12/12/2024 18:14:12,22.1470375061035,12/12/2024 18:14:12,22.1470375061035,12/12/2024 18:24:37,22.4879665374756,12/12/2024 18:14:16,6.55248463153839E-02,12/12/2024 18:14:15,0.120108917355537
12/12/2024 18:14:08,23.5649700164795,12/12/2024 18:23:07,24.9996089935303,12/12/2024 18:17:10,23.6437911987305,12/12/2024 18:14:08,23.2826690673828,12/12/2024 18:53:25,29.4000091552734,12/12/2024 18:14:16,22.0928249359131,12/12/2024 18:14:07,23.5957069396973,12/12/2024 18:21:33,23.2996120452881,12/12/2024 18:14:17,22.1470375061035,12/12/2024 18:14:17,22.1470375061035,12/12/2024 18:25:08,22.5025062561035,12/12/2024 18:14:21,6.55248463153839E-02,12/12/2024 18:14:20,0.120108917355537
12/12/2024 18:14:13,23.5649700164795,12/12/2024 18:23:18,25.0996150970459,12/12/2024 18:17:23,23.7934379577637,12/12/2024 18:14:11,23.1375122070313,12/12/2024 18:56:05,29.8000030517578,12/12/2024 18:14:21,22.0928249359131,12/12/2024 18:14:10,23.7098064422607,12/12/2024 18:21:39,23.3998146057129,12/12/2024 18:14:19,22.310977935791,12/12/2024 18:14:19,22.310977935791,12/12/2024 18:25:42,22.5164356231689,12/12/2024 18:14:26,6.55248463153839E-02,12/12/2024 18:14:25,0.120108917355537
12/12/2024 18:14:18,23.5649700164795,12/12/2024 18:23:29,25.1996059417725,12/12/2024 18:17:29,23.6540832519531,12/12/2024 18:14:16,23.1375122070313,12/12/2024 18:58:55,30.1999969482422,12/12/2024 18:14:26,22.1689147949219,12/12/2024 18:14:15,23.7098064422607,12/12/2024 18:21:44,23.4998054504395,12/12/2024 18:14:24,22.1654243469238,12/12/2024 18:14:24,22.1654243469238,12/12/2024 18:26:31,22.5327739715576,12/12/2024 18:14:31,6.55248463153839E-02,12/12/2024 18:14:30,0.120108917355537
12/12/2024 18:14:21,23.4346237182617,12/12/2024 18:23:41,25.2998085021973,12/12/2024 18:18:00,23.4994869232178,12/12/2024 18:14:21,23.1375122070313,12/12/2024 19:01:55,30.6000061035156,12/12/2024 18:14:31,22.1689147949219,12/12/2024 18:14:20,23.7098064422607,12/12/2024 18:21:50,23.5999088287354,12/12/2024 18:14:29,22.1654243469238,12/12/2024 18:14:29,22.1654243469238,12/12/2024 18:26:58,22.5219554901123,12/12/2024 18:14:36,6.55248463153839E-02,12/12/2024 18:14:35,0.120108917355537
12/12/2024 18:14:26,23.4346237182617,12/12/2024 18:23:52,25.3996181488037,12/12/2024 18:18:09,23.6271514892578,12/12/2024 18:14:26,23.1375122070313,12/12/2024 19:05:08,30.9999980926514,12/12/2024 18:14:36,22.1689147949219,12/12/2024 18:14:25,23.7098064422607,12/12/2024 18:21:55,23.6998023986816,12/12/2024 18:14:34,22.1654243469238,12/12/2024 18:14:34,22.1654243469238,12/12/2024 18:27:56,22.5141696929932,12/12/2024 18:14:41,6.55248463153839E-02,12/12/2024 18:14:40,0.120108917355537
12/12/2024 18:14:27,23.5658798217773,12/12/2024 18:24:04,25.4998054504395,12/12/2024 18:18:22,23.4159641265869,12/12/2024 18:14:27,23.2520217895508,12/12/2024 19:08:31,31.3996181488037,12/12/2024 18:14:41,22.1689147949219,12/12/2024 18:14:27,23.6334323883057,12/12/2024 18:22:00,23.7998085021973,12/12/2024 18:14:39,22.1654243469238,12/12/2024 18:14:39,22.1654243469238,12/12/2024 18:29:08,22.5237255096436,12/12/2024 18:14:46,6.55248463153839E-02,12/12/2024 18:14:45,0.120108917355537
12/12/2024 18:14:32,23.5658798217773,12/12/2024 18:24:16,25.5998115539551,12/12/2024 18:18:30,23.607852935791,12/12/2024 18:14:32,23.2520217895508,12/12/2024 19:12:05,31.6999969482422,12/12/2024 18:14:43,22.0593872070313,12/12/2024 18:14:32,23.6334323883057,12/12/2024 18:22:05,23.8998146057129,12/12/2024 18:14:44,22.1654243469238,12/12/2024 18:14:44,22.1654243469238,12/12/2024 18:30:48,22.4981231689453,12/12/2024 18:14:51,6.55248463153839E-02,12/12/2024 18:14:50,0.120108917355537
12/12/2024 18:14:37,23.5658798217773,12/12/2024 18:24:28,25.6996059417725,12/12/2024 18:18:50,23.6882877349854,12/12/2024 18:14:35,22.9812145233154,12/12/2024 19:14:55,32,12/12/2024 18:14:48,22.1862449645996,12/12/2024 18:14:36,23.5411720275879,12/12/2024 18:22:11,23.9998054504395,12/12/2024 18:14:49,22.1654243469238,12/12/2024 18:14:49,22.1654243469238,12/12/2024 18:31:09,22.5140743255615,12/12/2024 18:14:56,6.55248463153839E-02,12/12/2024 18:14:55,0.120108917355537
